date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:42	131082/131082	---MCZ	200	added ('OK')	text/html	etag:cacheable:be91786a8133d91af2605a946d61d323	https://susan-demo.myshopify.com/products/12-unique-content-for-each-product-on-the-product-tab	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/products/12-unique-content-for-each-product-on-the-product-tab.html	(from https://susan-demo.myshopify.com/)
10:47:46	109828/109828	---MCZ	200	added ('OK')	text/html	etag:cacheable:7fff35cdc5a3720c5cbdb8ede0483d23	https://susan-demo.myshopify.com/products/7-sample-affiliate-product	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/products/7-sample-affiliate-product.html	(from https://susan-demo.myshopify.com/)
10:48:03	260902/260902	---MCZ	200	added ('OK')	text/html	etag:cacheable:4be6fe21d96d1bab7c00c2d21a51b6c3	https://susan-demo.myshopify.com/products/3-variable-product	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/products/3-variable-product.html	(from https://susan-demo.myshopify.com/)
10:48:34	125933/125933	---MCZ	200	added ('OK')	text/html	etag:cacheable:bca31b25de1eff60fad2ec7c31e2134d	https://susan-demo.myshopify.com/products/5-simple-product	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/products/5-simple-product.html	(from https://susan-demo.myshopify.com/)
10:48:39	152296/152296	---MCZ	200	added ('OK')	text/html	etag:cacheable:392cbcf21f4ea2bb61399ad8facd2a27	https://susan-demo.myshopify.com/collections/frontpage	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/collections/frontpage.html	(from https://susan-demo.myshopify.com/)
10:48:41	72599/72599	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Nov%202019%2020:39:46%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/collections/Banner.png?v=1569660585	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/collections/Bannerabda.png	(from https://susan-demo.myshopify.com/)
10:48:41	161490/161490	---MCZ	200	added ('OK')	text/html	etag:cacheable:e7e9f71dbffa6b5383f0a9f6ff3673e9	https://susan-demo.myshopify.com/blogs/news	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/blogs/news.html	(from https://susan-demo.myshopify.com/)
10:48:43	78032/78032	---MCZ	200	added ('OK')	text/html	etag:cacheable:5caec55f4c56d88189c62fe55f2eb2d7	https://susan-demo.myshopify.com/pages/about-us	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/pages/about-us.html	(from https://susan-demo.myshopify.com/)
10:48:47	84696/84696	---MCZ	200	added ('OK')	text/html	etag:cacheable:ad7f12675a3780ec22e854f4c9a248c1	https://susan-demo.myshopify.com/pages/contact-us	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/pages/contact-us.html	(from https://susan-demo.myshopify.com/)
10:48:51	159161/159161	---MCZ	200	added ('OK')	text/html	etag:cacheable:23e236003d3029fd72ef6945a737b594	https://susan-demo.myshopify.com/collections/cook	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/collections/cook.html	(from https://susan-demo.myshopify.com/)
